PRS_1	PRS_2	PRS_3	PRS_4	PRS_5	PRS_6	PRS_7	PRS_8	PRS_9	PRS_10
0.00689650176861822	0.0148056370713057	0.010855104696488	0.0119762617039783	0.00930983339833325	0.010954200499385	0.00850850072804489	0.0129665542241666	0.0105734127845813	0.0120751935760209
0.0133756724436754	0.0080661317104583	0.00748993894350196	0.0147999256500493	0.007476548485568	0.0199970961147463	0.0132077083486915	0.00492468728890313	0.0141883574260382	0.00541012629580193
0.00416244980501192	0.00566071083016921	0.0157228998321082	0.0144059801905247	0.0077218922703251	0.00566854169334273	0.00472755700003273	0.00532230258764204	0.0172273511309188	0.0134304660116915
0.00764747990112015	0.0191283152768773	0.0115912075680856	0.00228870922648153	0.0192237274604335	0.0140139446877829	0.0151322397388701	0.0208344768396756	0.011017839660613	0.00971143015132482
0.0119488536023162	0.0103343254751301	0.01055660079246	0.0136578270540539	0.0193514246509228	0.0114800736060599	0.00682432792028416	0.011204213566614	0.0128612411938114	0.00673872894294005
0.00549465512245491	0.00437461530505143	0.0125640579038222	0.0106235060131175	0.00375642162113935	0.00982411607310209	0.0125721586308514	0.0107949427032527	0.0108449757601182	0.0171729879817449
0.00486418860904185	0.0113487075442298	0.00430920518215483	0.0130002772848695	0.0147687249939617	0.00663163063735215	0.0119279834387697	0.011195714320609	0.0161388041745877	0.0105178847026046
0.015918719094964	0.00625738779172388	0.00891536129301298	0.0143885131001818	0.0109113509695329	0.0186118165438143	0.00687133149008537	0.00451534290302165	0.0123189188061128	0.00826941849319709
0.00792605670053699	0.00609613872170941	0.00764266913085005	0.00656884203009005	0.00606559038268207	0.00690783441326541	0.00771979155757756	0.00953896623495819	0.017126401789727	0.00984732477519931
0.0124643146576321	0.0165740887620503	0.0164689834437298	0.017781995065656	0.0104638584260614	0.0105031028487833	0.0164053367444857	0.00508353220171815	0.0135577989276847	0.0163679166701395
0.0103356365403209	0.0221381377804975	0.00742636051418225	0.0066525792415234	0.012091243016008	0.0170860424510568	0.013506292397544	0.00807682776359674	0.0102243929379108	0.0138371097801204
0.0107646424064262	0.0147598611222161	0.0175338351766303	0.00449005346428945	0.00940036786283802	0.00937626994353843	0.00810202732661126	0.0132060734701873	0.0117326424845483	0.0146496693759291
0.0144506314524039	0.0150315368272845	0.00736595415569285	0.0173888347713265	0.00607289269610535	0.00797167517073634	0.00516767552996477	0.00321923525346551	0.01139607914047	0.01210654996184
0.00665015933058333	0.00574410568351589	0.00773013077019831	0.0068680821771079	0.0164242824740088	0.0152080777994175	0.0156976774835026	0.00593436707102316	0.0227273531096329	0.0079504544354439
0.0067683845091836	0.0098399943217476	0.00976733389234686	0.0183934646500871	0.00765970646517589	0.0122912850818847	0.00553957283499792	0.0148298894826212	0.015377157343768	0.00486021059911189
0.00870851475749175	0.0107160354030634	0.00682305572572576	0.0122131960069162	0.0124405365185824	0.00879084689061458	0.0158518146224524	0.00938261966720722	0.00650649713676386	0.011610779486262
0.0051290696433078	0.00258201320157884	0.00559537390075289	0.0137244184900247	0.00682045039381849	0.0140611381077558	0.0104196365244242	0.00561389704445059	0.0129800376303409	0.0133135679324228
0.016294010237667	0.00893634764409905	0.0030901743155582	0.0074733550419468	0.00341633900859218	0.00555358091468357	0.00632832456358209	0.015931305267494	0.00558245587766126	0.00638370138867911
0.00304081123477758	0.0160011540192998	0.00574420078261738	0.00522679464511901	0.00965156448229927	0.00385797894734523	0.0142517746022155	0.00891008966638203	0.0145938455732517	0.00543664296336447
0.0125302579096508	0.0165273031826891	0.0100163337787678	0.00728916454192203	0.0121389881859004	0.00965384969377831	0.00276051874184062	0.00697731252756329	0.00979455225565828	0.0166385064941064
0.0136169447416949	0.00482116331143785	0.00782060369962961	0.0144394945524166	0.00983768621490723	0.00882659802405269	0.0151697908980818	0.0059637219986899	0.00713714878835375	0.00584196834468628
0.0195112557257465	0.00608632364088955	0.00634853023593603	0.00938093522548484	0.00894613946598479	0.0128909410348132	0.00852936692817267	0.00874021771105807	0.0099309660618754	0.0110971511947559
0.00523728606984065	0.0130352757877743	0.0126383155203274	0.00528842742361827	0.00610666044182784	0.0112483589675417	0.0125347421185311	0.0107181658967837	0.00763471331188031	0.00557648329572575
0.00483914452014227	0.00644734552450574	0.0194461991143786	0.0135027629497734	0.0189798989981093	0.0107283951578551	0.00706986023310632	0.0040134380860151	0.0144810244942218	0.00815749511681467
0.0115138859401112	0.014708491201535	0.0170646634470875	0.00733212499477326	0.00708038680564579	0.00673048438438832	0.00845923177983135	0.00767586991947823	0.0104201393488334	0.00687806573390893
