PRS_1	PRS_2	PRS_3	PRS_4	PRS_5
0.138291121152384	0.0586792765778796	0.00738462162642546	0.119503953403264	0.00801667846017575
0.0908559932601722	0.0306870900584791	0.00361536478105197	0.113231211576472	0.0187717544630176
0.115127078271991	0.0406652543438445	0.00720987002670692	0.124987423166111	0.0133917242835796
0.0519921018322969	0.0544295289770464	0.0129240852539304	0.13547852408537	0.00941880138306371
0.0659895842639904	0.0338674768701062	0.00265186417752777	0.0970144160759263	0.0297668408023022
0.0579363811872519	0.0642042695833621	0.0128016586861316	0.150228791936587	0.0118470075335225
0.0777699222363627	0.0530477251002627	0.0134174452352625	0.191686953451774	0.0175524770368986
0.092454761948206	0.0339279367778225	0.00914097149865845	0.122234284574217	0.0231800376011314
0.106098012818189	0.0216627999307632	0.00668951237710319	0.225433212599972	0.0104062254588514
0.0908125903059233	0.0643929477776388	0.00178253244421239	0.122030587977781	0.0200544562518417
0.100758976340353	0.0541675817341008	0.00352855598864537	0.139372637699621	0.0216590612622688
0.12171103996829	0.0373689192767013	0.0143024701282514	0.0822371531795345	0.0231680649893604
0.113348211204782	0.0725084075539112	0.00691848366524892	0.195647799782079	0.0152611650397681
0.0820972074826664	0.0584846405990326	0.00792192389940738	0.195460836811019	0.0316749938295938
0.101358663276982	0.0535113713721327	0.00960927804538092	0.195618564315138	0.0271244381237621
0.0799116458897012	0.0380474481025453	0.00410446239751674	0.0717718559788416	0.0100667269760086
0.107579540227813	0.0387889435173357	0.00712109491424141	0.115177322574833	0.0159806998313766
0.0852715558539185	0.0351426796116693	0.0108984870986734	0.145426553357007	0.0231535301892594
0.0754652787834431	0.0454282592604518	0.00353193803353807	0.131529206298589	0.0252304933874954
0.14179534349213	0.0302787110585032	0.00179120384836868	0.159894654076728	0.013341735969433
0.116258082358607	0.0330196257662347	0.0126290663585243	0.116868315702292	0.0250877029861121
0.106367145605734	0.0888229367943638	0.00405107507603281	0.245288622559653	0.0166880165523568
0.0937093419486836	0.0409792275591403	0.00590914709157112	0.178841037640459	0.025587561499352
0.0485570050081484	0.0580952917176658	0.00837865409048672	0.119198183778096	0.0206876162448129
